129000084,92643,인하국제의료센터,126.4634929961,37.4392242895,6707B,6702,6701,6707A,6703,6705,
213000431,38522,기아자동차정문,126.8921529795,37.4372352227,금천04,
213000432,38510,기아자동차정문,126.8920163515,37.4372975982,금천04,
213000425,38537,도덕초등학교,126.8691398035,37.4844945739,구로11,
213000426,38536,철산주공8단지,126.8673003848,37.484160187,구로11,
213000427,38507,도덕초등학교,126.8690878938,37.484676089,구로11,
213000428,38526,하안주공14단지,126.8857076698,37.4592497659,금천05,금천02,
213000429,38525,기아자동차출하장,126.8942885064,37.4387614544,금천04,
108900195,09568,오현초등학교,127.0458990158,37.6235143501,강북11,
108900194,09855,북서울꿈의숲,127.037692427,37.6226511155,강북05,
108900196,09860,동문굿모닝힐,127.0376768931,37.6235892281,강북05,
108900191,09879,강북보건소정문,127.0392098381,37.632265588,강북06,
108900190,09865,번동초등학교,127.0392645903,37.6285850241,강북05,강북06,
108900193,09542,북서울꿈의숲,127.0375631127,37.6225033047,강북05,
108900192,09898,금강산병원.전자공단,127.0337117919,37.6343698089,강북09,강북11,
107900305,08450,장월초교.참누리아파트,127.0483028688,37.6233561997,성북14-1,
107900304,08451,동방주택,127.0436972641,37.6166192546,성북13,
107900303,08452,장위중학교,127.0405848691,37.6119173238,성북10-1,
107900302,08544,라일락약국,127.0226541291,37.61139247,성북09,
107900301,09994,창문여고앞,127.0361251088,37.6121731754,강북05,강북09,강북11,
107900300,09978,미아타운입구.동방고개.한일아파트,127.0381419725,37.6137600936,강북09,강북11,
108900199,09882,한양아파트입구.삼덕상운,127.0411117474,37.6278250747,강북09,강북11,
107900309,08827,성북빌리지,126.9965316827,37.5966280095,성북02,
108900198,09874,번동슈퍼,127.0380514148,37.6275826733,강북05,
107900308,08715,국민은행장위동지점,127.0481999996,37.6136089019,성북13,
107900307,08787,국민은행사거리,127.0481967359,37.6136553947,성북13,
107900306,08815,원진프라자앞,127.0329896615,37.5995460625,성북15,
108900184,09774,강북구민운동장.4단지,127.0386330487,37.6301293687,강북06,강북09,강북11,
108900183,09897,번동5거리.GS마트,127.0338418282,37.6350807796,강북09,강북11,
108900186,09878,강북구민운동장.4단지,127.0385479957,37.6300621045,강북09,강북11,
108900185,09876,강북보건소.번2동주민센터,127.0374072268,37.6312978319,강북09,강북11,
108900180,09812,번동5거리.GS마트,127.0339832469,37.6350626668,강북09,강북11,
108900182,09823,강북경찰서입구,127.0287228462,37.6351528285,강북09,강북11,
109000293,10657,창북중학교,127.0381562407,37.6515153281,1127,
235001147,68256,삼숭교,127.0972052505,37.8081976668,108,
107900316,08825,성북동성당,126.9977698177,37.5951953921,성북02,
107900315,08824,성북동성당,126.9978063656,37.5952469025,성북02,
107900314,08826,성북빌리지,126.9965706142,37.5966753135,성북02,
107900313,08831,북악슈퍼,126.9949407559,37.5975069303,성북02,
107900312,08833,북악슈퍼,126.9949570199,37.5974261161,성북02,
107900311,08837,길상사,126.9938478451,37.5982886219,성북02,
107900310,08839,길상사,126.9937296336,37.5983135122,성북02,
108900188,09519,해모로아파트,127.0370328821,37.6267985191,강북05,
108900187,09511,번동슈퍼,127.0377470603,37.6273912935,강북05,
107900319,08848,일신휴먼빌.우정아파트,127.011328102,37.6001422451,성북22,
107900318,08821,선잠단지.성락원앞,126.9990602957,37.5945548819,성북02,
108900189,09779,강북보건소.번2동주민센터,127.0370975783,37.6315851964,강북09,강북11,
107900317,08822,선잠단지.성락원앞,126.9990653051,37.5944950983,성북02,
235001169,68229,푸른마을아파트,126.9750539237,37.7192212438,704,
235001167,68173,세창아파트,127.0883713505,37.8307509875,108,
235001166,68171,세창아파트입구,127.0885464035,37.8331139488,108,
108900151,09506,아카데미하우스.통일교육원,127.0019763401,37.6420864004,강북01,
108900150,09507,성원아파트,127.0133895388,37.6610159636,도봉05,도봉02,
108900153,09503,연일슈퍼,127.0303278899,37.6289229235,강북04,
108900152,09504,빨래골,127.0099540274,37.6273853704,강북03,
108900159,09817,월산슈퍼,127.012434487,37.62528573,강북10,
108900158,09501,미송경로당,127.0126477391,37.6241515772,강북10,
108900155,09864,SK아파트,127.011083248,37.6197819089,강북10,
108900154,09502,번동초교.솔그린APT.하나은행,127.039630655,37.6289399734,강북05,강북06,
108900157,09806,구세군강북종합사회복지관,127.0137534657,37.6252853533,강북10,
108900156,09517,마을버스사무실,127.0129222362,37.6250157966,강북10,
108900140,09526,금강슈퍼,127.0356258417,37.6271730603,강북06,
108900142,09523,백련사,127.0044764647,37.6442284124,강북01,
108900141,09525,구세군강북종합사회복지관,127.0138528333,37.6252005941,강북10,
108900148,09510,번동슈퍼,127.0378801571,37.6276809585,강북06,
108900147,09513,수연슈퍼,127.0114720969,37.627725947,강북03,
108900149,09508,송중초등학교,127.0311439123,37.6163847154,강북05,강북06,강북09,강북11,
108900144,09521,다리앞,127.012197436,37.627897701,강북03,
108900143,09522,해청빌라,127.007732342,37.6374617392,강북02,
108900146,09514,모아빌라,127.00749238,37.6381851874,강북02,
108900145,09520,믿음슈퍼,127.0321196589,37.6271053811,강북04,
108900173,09775,훌랄라치킨,127.0188728131,37.6248786446,강북10,
108900172,09561,삼양오거리,127.01884846,37.6248224286,강북10,
108900174,09541,당진슈퍼,127.0324544149,37.6255032505,강북06,
108900171,09894,미아사거리역.롯데백화점,127.0301734697,37.6142075717,강북08,강북09,강북11,강북12,
108900177,09567,수유역,127.0250004915,37.6375682182,도봉04,도봉03,도봉02,
